local_datetime,canopy_cover,species,site,method
,99.3,Unknown,337_28,Green Canopy Cover Estimation from Field Scanner RGB images
,98.5,Unknown,179_63,Green Canopy Cover Estimation from Field Scanner RGB images
,99.4,Unknown,306_51,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,407_28,Green Canopy Cover Estimation from Field Scanner RGB images
,89.2,Unknown,321_60,Green Canopy Cover Estimation from Field Scanner RGB images
,96.5,Unknown,333_35,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,344_14,Green Canopy Cover Estimation from Field Scanner RGB images
,93.5,Unknown,172_64,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,298_36,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,82_24,Green Canopy Cover Estimation from Field Scanner RGB images
,96.4,Unknown,4_7,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,125_32,Green Canopy Cover Estimation from Field Scanner RGB images
,99.6,Unknown,296_31,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,357_13,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,126_30,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,418_5,Green Canopy Cover Estimation from Field Scanner RGB images
,97.3,Unknown,63_16,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,143_6,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,247_67,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,377_54,Green Canopy Cover Estimation from Field Scanner RGB images
,98.1,Unknown,4_8,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,151_22,Green Canopy Cover Estimation from Field Scanner RGB images
,98.7,Unknown,114_53,Green Canopy Cover Estimation from Field Scanner RGB images
,99.4,Unknown,23_45,Green Canopy Cover Estimation from Field Scanner RGB images
,87.4,Unknown,317_67,Green Canopy Cover Estimation from Field Scanner RGB images
,97.4,Unknown,211_2,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,42_57,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,366_31,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,168_56,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,77_13,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,410_22,Green Canopy Cover Estimation from Field Scanner RGB images
,93.8,Unknown,111_59,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,395_51,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,416_10,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,139_4,Green Canopy Cover Estimation from Field Scanner RGB images
,94.7,Unknown,172_63,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,7_14,Green Canopy Cover Estimation from Field Scanner RGB images
,97.9,Unknown,169_57,Green Canopy Cover Estimation from Field Scanner RGB images
,95.5,Unknown,326_49,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,296_32,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,388_66,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,232_43,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,362_24,Green Canopy Cover Estimation from Field Scanner RGB images
,90.6,Unknown,118_46,Green Canopy Cover Estimation from Field Scanner RGB images
,98,Unknown,23_46,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,226_32,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,323_55,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,286_11,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,89_37,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,351_2,Green Canopy Cover Estimation from Field Scanner RGB images
,99.1,Unknown,336_29,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,106_69,Green Canopy Cover Estimation from Field Scanner RGB images
,83.6,Unknown,184_54,Green Canopy Cover Estimation from Field Scanner RGB images
,98.9,Unknown,268_25,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,88_35,Green Canopy Cover Estimation from Field Scanner RGB images
,82.7,Unknown,207_8,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,377_53,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,275_12,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,292_23,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,387_68,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,129_24,Green Canopy Cover Estimation from Field Scanner RGB images
,99.3,Unknown,244_67,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,136_9,Green Canopy Cover Estimation from Field Scanner RGB images
,90.4,Unknown,47_48,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,157_33,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,257_47,Green Canopy Cover Estimation from Field Scanner RGB images
,99.6,Unknown,303_45,Green Canopy Cover Estimation from Field Scanner RGB images
,95.2,Unknown,189_44,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,379_57,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,347_7,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,361_22,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,57_28,Green Canopy Cover Estimation from Field Scanner RGB images
,99.8,Unknown,51_39,Green Canopy Cover Estimation from Field Scanner RGB images
,99.6,Unknown,141_2,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,324_54,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,425_9,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,265_31,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,289_17,Green Canopy Cover Estimation from Field Scanner RGB images
,98.7,Unknown,381_62,Green Canopy Cover Estimation from Field Scanner RGB images
,78.4,Unknown,385_69,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,121_40,Green Canopy Cover Estimation from Field Scanner RGB images
,98.7,Unknown,391_59,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,128_26,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,373_46,Green Canopy Cover Estimation from Field Scanner RGB images
,99.8,Unknown,323_56,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,248_66,Green Canopy Cover Estimation from Field Scanner RGB images
,96.9,Unknown,109_63,Green Canopy Cover Estimation from Field Scanner RGB images
,98.3,Unknown,24_47,Green Canopy Cover Estimation from Field Scanner RGB images
,94.3,Unknown,178_65,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,371_41,Green Canopy Cover Estimation from Field Scanner RGB images
,99.3,Unknown,248_65,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,58_25,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,259_43,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,308_56,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,112_58,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,342_18,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,68_5,Green Canopy Cover Estimation from Field Scanner RGB images
,99,Unknown,339_24,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,9_17,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,301_41,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,142_4,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,447_53,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,160_40,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,82_23,Green Canopy Cover Estimation from Field Scanner RGB images
,99.2,Unknown,108_66,Green Canopy Cover Estimation from Field Scanner RGB images
,98.9,Unknown,390_62,Green Canopy Cover Estimation from Field Scanner RGB images
,97.6,Unknown,250_61,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,92_44,Green Canopy Cover Estimation from Field Scanner RGB images
,96.4,Unknown,311_62,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,312_64,Green Canopy Cover Estimation from Field Scanner RGB images
,99.4,Unknown,206_10,Green Canopy Cover Estimation from Field Scanner RGB images
,98.4,Unknown,71_2,Green Canopy Cover Estimation from Field Scanner RGB images
,99.2,Unknown,32_63,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,209_4,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,147_14,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,85_30,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,273_15,Green Canopy Cover Estimation from Field Scanner RGB images
